"國家" "性別" "父母教育" "數學" "化學" "地科" "生物" "物理" "電腦" "書桌" "書" "房間" "網路" "書量"
"台灣" "男生" "大學以上" 740.18442 730.05993 665.78396 632.50298 621.55167 "有" "有" "有" "有" "有" "200本以上"
"台灣" "男生" "大學以上" 665.97874 650.85008 643.55554 655.49562 633.17085 "有" "有" "有" "有" "有" "26-100本"
"台灣" "男生" "大學以上" 862.41081 873.81001 734.3095 723.96463 743.58681 "有" "有" "有" "有" "有" "101-200本"
"台灣" "男生" "大學以上" 887.9304 847.74315 824.25417 766.69598 795.12565 "有" "有" "有" "有" "有" "200本以上"
"台灣" "男生" "大學以上" 644.01495 636.96062 628.79133 567.72117 580.58073 "有" "有" "有" "有" "有" "200本以上"
"台灣" "男生" "專科" 696.46746 652.27224 648.71575 643.52957 672.04216 "有" "無" "有" "無" "有" "200本以上"
"台灣" "男生" "專科" 663.3501 738.99191 648.96758 636.40164 650.85903 "有" "有" "有" "無" "有" "200本以上"
"台灣" "男生" "大學以上" 544.27817 579.08383 551.52804 553.2879 565.62568 "有" "有" "有" "無" "有" "200本以上"
"台灣" "男生" "大學以上" 608.65096 572.04144 570.30581 523.97061 529.8539 "有" "有" "有" "有" "有" "101-200本"
"台灣" "男生" "大學以上" 766.66179 703.04075 750.76777 696.72854 692.50865 "有" "有" "有" "有" "有" "101-200本"
"台灣" "男生" "大學以上" 770.54163 719.93569 698.21365 780.61272 674.36558 "有" "有" "有" "有" "有" "200本以上"
"台灣" "男生" "大學以上" 773.20971 786.78625 659.31387 675.59778 662.92044 "有" "有" "有" "無" "有" "26-100本"
"台灣" "男生" "大學以上" 653.99219 729.84291 636.14785 639.81476 611.60125 "有" "有" "無" "有" "有" "26-100本"
"台灣" "男生" "大學以上" 711.38366 755.72809 700.18737 670.13544 676.97706 "有" "有" "有" "有" "有" "200本以上"
"台灣" "男生" "大學以上" 525.22872 560.4454 576.26744 557.50528 503.77679 "有" "有" "有" "有" "有" "200本以上"
"台灣" "男生" "大學以上" 620.72433 668.01049 590.3137 632.51847 631.91858 "有" "有" "有" "無" "有" "101-200本"
"台灣" "男生" "大學以上" 679.73369 647.37466 614.49805 609.30914 573.74631 "有" "有" "有" "無" "有" "26-100本"
"台灣" "男生" "大學以上" 670.96261 731.705 718.83432 704.69281 716.6463 "有" "有" "有" "有" "有" "200本以上"
"台灣" "男生" "大學以上" 719.13293 618.4564 603.95231 599.86848 596.58815 "有" "有" "有" "有" "有" "200本以上"
"台灣" "男生" "大學以上" 707.04963 694.50332 675.99451 705.00574 682.79063 "有" "有" "有" "有" "有" "200本以上"
"台灣" "女生" "大學以上" 687.36643 562.78006 545.19422 577.04584 543.9617 "有" "有" "有" "有" "有" "11-25本"
"台灣" "女生" "高中" 678.77178 643.54605 584.97989 556.15371 584.70438 "有" "有" "有" "無" "有" "11-25本"
"台灣" "女生" "大學以上" 506.23392 496.49393 490.10097 497.36093 506.50851 "有" "有" "有" "有" "有" "11-25本"
"台灣" "女生" "大學以上" 605.32153 616.60467 559.33824 561.80525 554.81033 "有" "有" "有" "無" "有" "101-200本"
